input	output	probability	tab.prob	Mon-er	long-more	l-more	i-er	li-more	r-er	OCP-r	cluster-more	finalStress-more
numb	er	0.774193548387	31.0	0	0	0	0	0	0	0	0	1
numb	more	0.225806451613	31.0	1	0	0	0	0	0	0	0	0
drab	er	0.545454545455	11.0	0	0	0	0	0	0	0	0	1
drab	more	0.454545454545	11.0	1	0	0	0	0	0	0	0	0
fierce	er	0.766393442623	244.0	0	0	0	0	0	0	0	1	1
fierce	more	0.233606557377	244.0	1	0	0	0	0	0	0	0	0
bleak	er	0.886363636364	176.0	0	0	0	0	0	0	0	0	1
bleak	more	0.113636363636	176.0	1	0	0	0	0	0	0	0	0
short	er	0.996127669561	8522.0	0	0	0	0	0	0	0	1	1
short	more	0.00387233043886	8522.0	1	0	0	0	0	0	0	0	0
clear	er	0.907630522088	3486.0	0	0	0	0	0	0	1	0	1
clear	more	0.0923694779116	3486.0	1	0	0	0	0	1	0	0	0
proud	er	0.560471976401	339.0	0	0	0	0	0	0	0	0	1
proud	more	0.439528023599	339.0	1	0	0	0	0	0	0	0	0
steady	er	0.874100719424	278.0	0	0	0	0	0	0	0	0	0
steady	more	0.125899280576	278.0	0	0	0	1	0	0	0	0	0
severe	er	0.00609756097561	1312.0	0	0	0	0	0	0	1	0	1
severe	more	0.993902439024	1312.0	0	0	0	0	0	1	0	0	0
fresh	er	0.85315712188	681.0	0	0	0	0	0	0	0	0	1
fresh	more	0.14684287812	681.0	1	0	0	0	0	0	0	0	0
clean	er	0.984020618557	1940.0	0	0	0	0	0	0	0	0	1
clean	more	0.0159793814433	1940.0	1	0	0	0	0	0	0	0	0
tall	er	0.997794441994	4534.0	0	0	1	0	0	0	0	0	1
tall	more	0.00220555800618	4534.0	1	0	0	0	0	0	0	0	0
